Date (GMT+1),Wind offshore 50Hertz,Wind offshore TenneT,Wind onshore 50Hertz,Wind onshore Amprion,Wind onshore TenneT,Wind onshore TransnetBW,Solar 50Hertz,Solar Amprion,Solar TenneT,Solar TransnetBW
,Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW)
2023-01-01T00:00+01:00,322.5,2414.9,9791.3,6268,11981.2,542,0,0,1.6,0
2023-01-01T00:15+01:00,264.9,2708.9,9810.2,6038,12206.6,578,0,0,1.2,0
2023-01-01T00:30+01:00,394.3,2873.3,10081.6,6148,12313.8,666,0,0,0.9,0
2023-01-01T00:45+01:00,409.4,2848.2,9793.2,5868,12098.1,658,0,0,1.2,0
2023-01-01T01:00+01:00,376.2,2766,9898.4,6106,12637.9,646,0,0,1,0
2023-01-01T01:15+01:00,572.1,3022.2,10103.6,5960,12637.4,630,0,0,1.2,0
2023-01-01T01:30+01:00,592.4,3182.8,9738.4,5962,12742.7,596,0,0,1.1,0
2023-01-01T01:45+01:00,617.6,3215.8,10195.5,6006,12731.9,629,0,0,1.1,0
2023-01-01T02:00+01:00,737,3301.7,9768.2,5826,12678.9,643,0,0,2.1,0
2023-01-01T02:15+01:00,564.5,3303.8,10258.5,6154,12652.7,622,0,0,0.9,0
2023-01-01T02:30+01:00,442.6,3302.8,10073.5,5785,12612.5,581,0,0,0.9,0
2023-01-01T02:45+01:00,396.5,3320.3,10285,5975,12486.6,662,0,0,1.1,0
2023-01-01T03:00+01:00,353.6,3274,9368.2,5600,12114.2,619,0,0,1.2,0
2023-01-01T03:15+01:00,315.1,3229.6,8769.3,5619,12062.9,619,0,0,1.2,0
2023-01-01T03:30+01:00,358.5,3147.4,8569.5,5441,11982.8,636,0,0,1.3,0
2023-01-01T03:45+01:00,316.6,2857.3,8660.4,5404,11949.3,620,0,0,1.2,0
2023-01-01T04:00+01:00,335,2951.4,8631.8,5650,11997.8,674,0,0,2.1,0
2023-01-01T04:15+01:00,496.1,3051.7,8324.1,5452,12016.9,646,0,0,1.4,0
2023-01-01T04:30+01:00,511.9,3134,8119.8,5314,11999.9,652,0,0,1.5,0
2023-01-01T04:45+01:00,379.9,2988.7,8574,5122,11928.3,652,0,0,1.3,0
2023-01-01T05:00+01:00,315.2,3075.3,9126.9,5364,12184.1,646,0,0,3.3,0
2023-01-01T05:15+01:00,342.5,2937.2,8975.8,5273,12022.8,621,0,0,1.3,0
2023-01-01T05:30+01:00,404,2928.9,8769.4,5185,11898.4,627,0,0,1.2,0
2023-01-01T05:45+01:00,324.8,3031.5,8922.4,5117,11831,616,0,0,1.3,0
2023-01-01T06:00+01:00,353.7,3031.2,8777.7,5163,12248.3,585,0,0,1.6,0
2023-01-01T06:15+01:00,329.3,2896.9,8723.4,5117,12211.8,610,0,0,1.1,0
2023-01-01T06:30+01:00,380.8,2852,8641.5,5120,12187.6,661,0,0,1.2,0
2023-01-01T06:45+01:00,440.1,2790.4,8545.9,5136,12088.5,675,0,0,1.4,0
2023-01-01T07:00+01:00,330.1,3244.4,8638.8,5522,12403,687,0,0,1.2,0
2023-01-01T07:15+01:00,364.1,3051.6,8660.6,5431,12412.8,657,0,0,1.1,0
2023-01-01T07:30+01:00,447.1,2994.4,8644.8,5531,12426.9,618,0,0,1.4,0
2023-01-01T07:45+01:00,627.7,2859.3,8455.6,5551,12254,596,0,0.1,2.2,0
2023-01-01T08:00+01:00,313.5,2804,8438.6,5608,12166.6,597,1,0.8,10.2,0
2023-01-01T08:15+01:00,359.7,2861.5,8365.9,5372,12275.2,629,11,17.8,74.6,2.3
2023-01-01T08:30+01:00,327.7,2734.1,8321.8,5343,12077.2,573,92,86.4,275.5,146.3
2023-01-01T08:45+01:00,332.4,2736.9,8227.2,5110,12015.4,554,260,200,614.4,269.4
2023-01-01T09:00+01:00,336.5,3136,8013.6,4959,11813.2,567,471,333.4,980.8,396.3
2023-01-01T09:15+01:00,357,3100.4,8191.1,4807,11826.3,530,630,459.3,1360.9,529.6
2023-01-01T09:30+01:00,341.6,3131.3,8007.5,4780,11728.2,490,761,578.1,1738.6,689.5
2023-01-01T09:45+01:00,313.2,3154.8,7810.3,4768,11727.5,501,903,723.4,2060.3,879.2
2023-01-01T10:00+01:00,309.2,3106.6,7680,5255,11503.9,461,1049,877.5,2412,1063.5
2023-01-01T10:15+01:00,307.4,3110,7681,4968,11363.9,395,1201,1024.7,2688.3,1216
2023-01-01T10:30+01:00,308.2,3027,7478.9,4688,11418,387,1320,1154.2,2947.5,1354
2023-01-01T10:45+01:00,306.1,3110.7,7460.5,4335,11230.3,353,1445,1269.1,3181.3,1517.7
2023-01-01T11:00+01:00,311.8,3131.6,7641.3,4063,11063,326,1574,1339.9,3439.5,1609.4
2023-01-01T11:15+01:00,349.2,3240.1,7718,3965,11025.1,315,1630,1373,3690.4,1702.7
2023-01-01T11:30+01:00,315.8,3323.9,7856.8,4039,11011,303,1698,1383.8,3878.9,1811.5
