Date (GMT+1),Wind offshore 50Hertz,Wind offshore Tennet,Wind onshore 50Hertz,Wind Amprion,Wind onshore Tennet,Wind Transnet BW,Solar 50Hertz,Solar Amprion,Solar Tennet,Solar Transnet BW
,Power (GW),Power (GW),Power (GW),Power (GW),Power (GW),Power (GW),Power (GW),Power (GW),Power (GW),Power (GW)
2014-01-01T00:00+01:00,0.043,0.043,4.284,1.825,3.196,0.127,0,0,0,0
2014-01-01T01:00+01:00,0.04,0.056,4.151,1.582,3.088,0.114,0,0,0,0
2014-01-01T02:00+01:00,0.043,0.063,4.045,2.197,3.449,0.094,0,0,0,0
2014-01-01T03:00+01:00,0.046,0.064,4.211,2.152,3.455,0.139,0,0,0,0
2014-01-01T04:00+01:00,0.047,0.064,3.854,2.22,3.28,0.108,0,0,0,0
2014-01-01T05:00+01:00,0.042,0.06,3.584,2.371,3.277,0.095,0,0,0,0
2014-01-01T06:00+01:00,0.036,0.063,3.564,2.216,3.08,0.109,0,0,0,0
2014-01-01T07:00+01:00,0.034,0.063,3.628,2.151,3.289,0.096,0,0,0,0.001
2014-01-01T08:00+01:00,0.027,0.064,3.648,2.351,3.268,0.092,0.058,0.023,0.062,0.029
2014-01-01T09:00+01:00,0.021,0.059,3.702,2.287,2.977,0.076,0.38,0.321,0.45,0.191
2014-01-01T10:00+01:00,0.018,0.058,3.026,2.066,2.675,0.076,0.712,1.006,1.15,0.53
2014-01-01T11:00+01:00,0.014,0.058,2.373,2.493,2.553,0.064,0.816,1.593,1.802,1.014
2014-01-01T12:00+01:00,0.011,0.058,1.921,2.266,2.481,0.038,0.859,1.94,2.286,1.418
2014-01-01T13:00+01:00,0.009,0.057,1.467,2.123,2.693,0.022,0.788,1.849,2.415,1.4
2014-01-01T14:00+01:00,0.008,0.056,1.372,1.97,2.687,0.034,0.577,1.202,1.901,1.091
2014-01-01T15:00+01:00,0.007,0.048,1.568,1.816,3.045,0.043,0.216,0.568,0.866,0.543
2014-01-01T16:00+01:00,0.009,0.064,2.118,2.642,4.093,0.067,0.008,0.068,0.133,0.098
2014-01-01T17:00+01:00,0.014,0.064,2.89,3.132,4.893,0.108,0,0.001,0,0
2014-01-01T18:00+01:00,0.017,0.064,3.459,3.34,5.452,0.119,0,0,0,0
2014-01-01T19:00+01:00,0.019,0.064,4.023,3.543,6.083,0.183,0,0,0,0
2014-01-01T20:00+01:00,0.023,0.064,4.426,3.628,6.113,0.212,0,0,0,0
2014-01-01T21:00+01:00,0.029,0.064,4.614,3.495,6.173,0.217,0,0,0,0
2014-01-01T22:00+01:00,0.039,0.064,5.107,3.558,6.223,0.18,0,0,0,0
2014-01-01T23:00+01:00,0.045,0.064,5.294,3.564,6.594,0.146,0,0,0,0
2014-01-02T00:00+01:00,0.046,0.064,5.398,3.179,6.626,0.112,0,0,0,0
2014-01-02T01:00+01:00,0.048,0.064,5.107,3.499,6.694,0.105,0,0,0,0
2014-01-02T02:00+01:00,0.048,0.064,4.991,3.779,6.864,0.103,0,0,0,0
2014-01-02T03:00+01:00,0.048,0.064,5.375,4.073,6.975,0.106,0,0,0,0
2014-01-02T04:00+01:00,0.048,0.064,5.618,4.265,6.793,0.113,0,0,0,0
2014-01-02T05:00+01:00,0.048,0.064,5.978,4.119,6.697,0.121,0,0,0,0
2014-01-02T06:00+01:00,0.048,0.064,6.182,4.611,6.662,0.158,0,0,0,0
2014-01-02T07:00+01:00,0.048,0.064,6.487,4.472,6.591,0.219,0,0,0,0
2014-01-02T08:00+01:00,0.048,0.064,6.196,4.173,6.473,0.268,0.034,0.01,0.039,0.014
2014-01-02T09:00+01:00,0.048,0.062,6.094,3.943,6.057,0.297,0.193,0.088,0.281,0.057
2014-01-02T10:00+01:00,0.048,0.06,6.234,3.722,5.611,0.365,0.453,0.25,0.691,0.148
2014-01-02T11:00+01:00,0.048,0.056,5.796,3.124,5.19,0.379,0.69,0.433,1.059,0.251
2014-01-02T12:00+01:00,0.048,0.057,5.495,3.014,4.68,0.336,0.773,0.578,1.402,0.418
2014-01-02T13:00+01:00,0.048,0.052,5.374,3.642,4.388,0.357,0.666,0.537,1.333,0.478
2014-01-02T14:00+01:00,0.047,0.056,5.35,3.937,4.045,0.337,0.39,0.416,0.784,0.359
2014-01-02T15:00+01:00,0.048,0.062,5.496,3.102,4.575,0.282,0.108,0.248,0.31,0.17
2014-01-02T16:00+01:00,0.046,0.063,5.751,1.945,5.064,0.265,0.006,0.051,0.053,0.048
2014-01-02T17:00+01:00,0.041,0.063,6.19,2.234,5.093,0.228,0,0.001,0,0
